delivery_date,field_no,contract_no,slip_no,delivery_qty,batch_id
2026-05-01,025-1,18700047,12,5.0,
2026-05-01,025-1,18700047,13,5.0,
2026-05-01,025-1,18700047,14,5.0,
2026-05-01,025-1,18700047,15,5.0,
2026-05-01,025-1,18700047,16,5.0,
2026-05-01,025-1,18700047,17,5.0,
2026-05-01,025-1,18700047,18,5.0,
2026-05-01,025-1,18700047,19,3.0,
2026-05-01,026-1,3800085,1,5.0,
2026-05-01,026-1,3800085,2,5.0,
2026-05-01,026-1,3800085,3,5.0,
2026-05-01,026-1,3800085,4,5.0,
2026-05-01,026-1,3800085,5,5.0,
2026-05-01,026-1,3800085,6,5.0,
2026-05-01,026-1,3800085,7,5.0,
2026-05-01,026-1,3800085,8,5.0,
2026-05-01,026-1,3800085,9,5.0,
2026-05-01,026-1,3800085,10,5.0,
2026-05-01,026-1,3800085,11,2.5,
2026-05-02,001-1,1121000067,1,0.5,
2026-05-02,002-1,1121000067,1,5.0,
2026-05-02,002-1,1121000067,2,5.5,
2026-05-02,002-1,1121000067,3,5.5,
2026-05-02,002-1,1121000067,4,5.5,
2026-05-02,002-1,1121000067,5,5.5,
2026-05-02,002-1,1121000067,6,5.5,
2026-05-02,002-1,1121000067,7,5.5,
2026-05-02,002-1,1121000067,8,5.5,
2026-05-02,002-1,1121000067,9,5.5,
2026-05-02,002-1,1121000067,10,5.5,
2026-05-02,002-1,1121000067,11,5.5,
2026-05-02,002-1,1121000067,12,5.0,
2026-05-02,002-1,1121000067,13,5.5,
2026-05-02,002-1,1121000067,14,5.5,
2026-05-02,002-1,1121000067,15,5.5,
2026-05-02,002-1,1121000067,16,5.5,
2026-05-02,002-1,1121000067,17,5.5,
2026-05-02,002-1,1121000067,18,5.5,
2026-05-02,002-1,1121000067,19,5.5,
2026-05-02,002-1,1121000067,20,5.5,
2026-05-02,002-1,1121000067,21,5.5,
2026-05-02,002-1,1121000067,22,5.5,
2026-05-02,002-1,1121000067,23,5.0,
2026-05-02,002-1,1121000067,24,3.5,
2026-05-02,005-1,1091400007,1,0.5,
2026-05-02,006-1,1091400007,1,5.0,
2026-05-02,006-1,1091400007,2,5.5,
2026-05-02,006-1,1091400007,3,5.5,
2026-05-02,006-1,1091400007,4,5.5,
2026-05-02,006-1,1091400007,5,5.5,
2026-05-02,006-1,1091400007,6,5.5,
2026-05-02,006-1,1091400007,7,5.5,
2026-05-02,006-1,1091400007,8,5.5,
2026-05-02,006-1,1091400007,9,5.5,
2026-05-02,006-1,1091400007,10,5.5,
2026-05-02,006-1,1091400007,11,5.0,
2026-05-02,006-1,1091400007,12,5.5,
2026-05-02,006-1,1091400007,13,5.0,
2026-05-02,006-1,1091400007,14,5.0,
2026-05-02,006-1,1091400007,15,3.0,
2026-05-02,007-1,94500021,1,0.5,
2026-05-02,008-1,94500021,1,4.75,
2026-05-02,008-1,94500021,2,4.75,
2026-05-02,008-1,94500021,3,4.75,
2026-05-02,008-1,94500021,4,2.0,
2026-05-02,009-1,1132400031,1,1.5,
2026-05-02,009-1,1132400031,2,1.0,
2026-06-01,002-1,111400022,12,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,002-1,111400022,13,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,002-1,111400022,14,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,002-1,111400022,15,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,002-1,111400022,16,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,002-1,111400022,17,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,002-1,111400022,18,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-05-02,025-1,1008300008,1,5.5,
2026-05-02,025-1,1008300008,2,5.5,
2026-05-02,025-1,1008300008,3,5.5,
2026-05-02,025-1,1008300008,4,5.5,
2026-05-02,025-1,1008300008,5,5.5,
2026-05-02,025-1,1008300008,6,5.5,
2026-05-02,025-1,1008300008,7,5.5,
2026-05-02,025-1,1008300008,8,5.5,
2026-05-02,025-1,1008300008,9,5.5,
2026-05-02,025-1,1008300008,10,5.5,
2026-05-02,025-1,1008300008,11,5.0,
2026-05-02,025-1,1008300008,12,5.0,
2026-05-02,025-1,1008300008,13,5.0,
2026-05-02,025-1,1008300008,14,5.0,
2026-05-02,025-1,1008300008,15,5.0,
2026-05-02,025-1,1008300008,16,5.0,
2026-05-02,025-1,1008300008,17,5.0,
2026-05-02,025-1,1008300008,18,5.0,
2026-05-02,025-1,1008300008,19,5.0,
2026-05-02,025-1,1008300008,20,5.0,
2026-05-02,026-1,115100052,1,5.0,
2026-05-02,026-1,115100052,2,5.0,
2026-05-02,026-1,115100052,3,5.0,
2026-05-02,026-1,115100052,4,5.0,
2026-05-02,026-1,115100052,5,4.5,
2026-05-02,026-1,115100052,6,5.5,
2026-05-02,026-1,115100052,7,5.0,
2026-05-02,026-1,115100052,8,5.0,
2026-05-02,026-1,115100052,9,5.0,
2026-05-02,026-1,115100052,10,5.0,
2026-05-02,026-1,115100052,11,5.0,
2026-05-02,026-1,115100052,12,5.0,
2026-06-01,002-1,111400022,19,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,004-1,1171100001,1,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,004-1,1171100001,2,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,004-1,1171100001,3,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,004-1,1171100001,4,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,004-1,1171100001,5,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,004-1,1171100001,6,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-05-07,005-1,1140300002,1,1.0,
2026-05-07,006-1,1140300002,1,5.0,
2026-05-07,006-1,1140300002,2,5.5,
2026-05-07,006-1,1140300002,3,5.5,
2026-05-07,006-1,1140300002,4,5.5,
2026-05-07,006-1,1140300002,5,5.5,
2026-05-07,006-1,1140300002,6,5.5,
2026-05-07,006-1,1140300002,7,5.5,
2026-05-07,006-1,1140300002,8,5.5,
2026-05-07,006-1,1140300002,9,5.5,
2026-05-07,006-1,1140300002,10,5.5,
2026-05-07,006-1,1140300002,11,5.5,
2026-05-07,006-1,1140300002,12,5.5,
2026-05-07,006-1,1140300002,13,5.5,
2026-05-07,006-1,1140300002,14,5.5,
2026-05-07,006-1,1140300002,15,5.5,
2026-05-07,006-1,1140300002,16,5.5,
2026-05-07,006-1,1140300002,17,5.5,
2026-05-07,006-1,1140300002,18,5.5,
2026-05-07,006-1,1140300002,19,5.5,
2026-05-07,006-1,1140300002,20,5.5,
2026-05-07,006-1,1140300002,21,5.5,
2026-05-07,006-1,1140300002,22,5.5,
2026-05-07,006-1,1140300002,23,5.5,
2026-05-07,006-1,1140300002,24,5.5,
2026-05-07,006-1,1140300002,25,5.5,
2026-05-07,006-1,1140300002,26,5.5,
2026-05-07,006-1,1140300002,27,5.5,
2026-05-07,006-1,1140300002,28,5.0,
2026-05-07,006-1,1140300002,29,5.5,
2026-05-07,006-1,1140300002,30,5.5,
2026-05-07,006-1,1140300002,31,5.5,
2026-05-07,006-1,1140300002,32,5.5,
2026-05-07,006-1,1140300002,33,5.5,
2026-05-07,006-1,1140300002,34,5.5,
2026-05-07,006-1,1140300002,35,5.5,
2026-05-07,006-1,1140300002,36,5.5,
2026-05-07,006-1,1140300002,37,5.5,
2026-05-07,006-1,1140300002,38,5.5,
2026-05-07,006-1,1140300002,39,5.0,
2026-05-07,006-1,1140300002,40,5.5,
2026-05-07,006-1,1140300002,41,5.5,
2026-05-07,006-1,1140300002,42,5.5,
2026-05-07,006-1,1140300002,43,5.5,
2026-05-07,006-1,1140300002,44,5.0,
2026-05-07,006-1,1140300002,45,5.5,
2026-05-07,006-1,1140300002,46,1.5,
2026-05-07,009-1,1167200001,1,0.5,
2026-05-07,010-1,1167200001,1,5.0,
2026-05-07,010-1,1167200001,2,5.5,
2026-05-07,010-1,1167200001,3,5.5,
2026-05-07,010-1,1167200001,4,5.0,
2026-05-07,010-1,1167200001,5,5.0,
2026-05-07,010-1,1167200001,6,5.0,
2026-05-07,010-1,1167200001,7,5.0,
2026-05-07,010-1,1167200001,8,5.0,
2026-05-07,010-1,1167200001,9,2.5,
2026-05-07,023-1,49300007,1,5.0,
2026-05-07,025-1,1121000071,1,1.5,
2026-05-08,001-1,1168500001,1,0.5,
2026-05-08,002-1,1168500001,1,4.75,
2026-05-08,002-1,1168500001,2,4.75,
2026-05-08,002-1,1168500001,3,4.75,
2026-05-08,002-1,1168500001,4,4.75,
2026-05-08,002-1,1168500001,5,4.75,
2026-05-08,002-1,1168500001,6,4.75,
2026-05-08,002-1,1168500001,7,4.75,
2026-05-08,002-1,1168500001,8,4.75,
2026-05-08,002-1,1168500001,9,4.75,
2026-05-08,002-1,1168500001,10,4.75,
2026-05-08,002-1,1168500001,11,4.75,
2026-05-08,002-1,1168500001,12,4.75,
2026-05-08,002-1,1168500001,13,4.75,
2026-05-08,002-1,1168500001,14,4.75,
2026-05-08,002-1,1168500001,15,4.75,
2026-05-08,002-1,1168500001,16,4.75,
2026-05-08,002-1,1168500001,17,4.75,
2026-05-08,002-1,1168500001,18,4.75,
2026-05-08,002-1,1168500001,19,4.75,
2026-05-08,002-1,1168500001,20,4.75,
2026-05-08,002-1,1168500001,21,4.75,
2026-05-08,002-1,1168500001,22,4.75,
2026-05-08,002-1,1168500001,23,4.75,
2026-05-08,002-1,1168500001,24,4.75,
2026-05-08,002-1,1168500001,25,4.75,
2026-05-08,002-1,1168500001,26,4.75,
2026-05-08,002-1,1168500001,27,4.75,
2026-05-08,002-1,1168500001,28,4.75,
2026-05-08,002-1,1168500001,29,1.5,
2026-05-08,003-1,1166600002,1,0.5,
2026-05-08,004-1,1166600002,1,5.0,
2026-05-08,004-1,1166600002,2,5.0,
2026-05-08,004-1,1166600002,3,5.5,
2026-05-08,004-1,1166600002,4,5.5,
2026-05-08,004-1,1166600002,5,5.0,
2026-05-08,004-1,1166600002,6,5.0,
2026-05-08,004-1,1166600002,7,5.0,
2026-05-08,004-1,1166600002,8,5.0,
2026-05-08,004-1,1166600002,9,5.0,
2026-05-08,004-1,1166600002,10,5.0,
2026-05-08,004-1,1166600002,11,5.0,
2026-05-08,004-1,1166600002,12,5.0,
2026-05-08,004-1,1166600002,13,2.5,
2026-05-08,005-1,1125800021,1,0.5,
2026-05-08,006-1,1125800021,1,4.75,
2026-05-08,006-1,1125800021,2,4.75,
2026-05-08,006-1,1125800021,3,4.75,
2026-05-08,006-1,1125800021,4,4.75,
2026-05-08,006-1,1125800021,5,4.75,
2026-05-08,006-1,1125800021,6,4.75,
2026-05-08,006-1,1125800021,7,4.75,
2026-05-08,006-1,1125800021,8,4.75,
2026-05-08,006-1,1125800021,9,4.75,
2026-05-08,006-1,1125800021,10,4.75,
2026-05-08,006-1,1125800021,11,4.75,
2026-05-08,006-1,1125800021,12,4.75,
2026-05-08,006-1,1125800021,13,4.75,
2026-05-08,006-1,1125800021,14,4.75,
2026-05-08,006-1,1125800021,15,4.75,
2026-05-08,006-1,1125800021,16,4.75,
2026-05-08,006-1,1125800021,17,4.75,
2026-05-08,006-1,1125800021,18,4.75,
2026-05-08,006-1,1125800021,19,4.75,
2026-05-08,006-1,1125800021,20,4.75,
2026-05-08,006-1,1125800021,21,4.75,
2026-05-08,006-1,1125800021,22,4.75,
2026-05-08,006-1,1125800021,23,4.75,
2026-05-08,006-1,1125800021,24,4.75,
2026-05-08,006-1,1125800021,25,4.75,
2026-05-08,006-1,1125800021,26,4.75,
2026-05-08,006-1,1125800021,27,4.75,
2026-05-08,006-1,1125800021,28,4.75,
2026-05-08,006-1,1125800021,29,4.75,
2026-05-08,006-1,1125800021,30,4.75,
2026-05-08,006-1,1125800021,31,4.75,
2026-05-08,006-1,1125800021,32,4.75,
2026-05-08,006-1,1125800021,33,4.75,
2026-05-08,006-1,1125800021,34,4.75,
2026-05-08,006-1,1125800021,35,4.75,
2026-05-08,006-1,1125800021,36,4.75,
2026-05-08,006-1,1125800021,37,4.75,
2026-05-08,006-1,1125800021,38,4.75,
2026-05-08,006-1,1125800021,39,4.75,
2026-05-08,006-1,1125800021,40,3.0,
2026-05-08,007-1,1129000003,1,1.0,
2026-05-08,008-1,1129000003,1,5.0,
2026-05-08,008-1,1129000003,2,5.5,
2026-05-08,008-1,1129000003,3,5.5,
2026-05-08,008-1,1129000003,4,5.5,
2026-05-08,008-1,1129000003,5,5.5,
2026-05-08,008-1,1129000003,6,5.5,
2026-05-08,008-1,1129000003,7,5.5,
2026-05-08,008-1,1129000003,8,5.5,
2026-05-08,008-1,1129000003,9,5.5,
2026-05-08,008-1,1129000003,10,5.5,
2026-05-08,008-1,1129000003,11,5.5,
2026-05-08,008-1,1129000003,12,5.5,
2026-05-08,008-1,1129000003,13,5.5,
2026-05-08,008-1,1129000003,14,5.5,
2026-05-08,008-1,1129000003,15,5.5,
2026-05-08,008-1,1129000003,16,5.5,
2026-05-08,008-1,1129000003,17,5.5,
2026-05-08,008-1,1129000003,18,5.5,
2026-05-08,008-1,1129000003,19,5.5,
2026-05-08,008-1,1129000003,20,5.5,
2026-05-08,008-1,1129000003,21,5.5,
2026-05-08,008-1,1129000003,22,5.0,
2026-05-08,008-1,1129000003,23,5.0,
2026-05-08,008-1,1129000003,24,5.0,
2026-05-08,022-1,1031800008,1,5.5,
2026-05-08,022-1,1031800008,2,5.5,
2026-05-08,022-1,1031800008,3,5.5,
2026-05-08,022-1,1031800008,4,5.5,
2026-05-08,022-1,1031800008,5,5.5,
2026-05-08,022-1,1031800008,6,5.5,
2026-05-08,022-1,1031800008,7,5.5,
2026-05-08,022-1,1031800008,8,5.5,
2026-05-08,022-1,1031800008,9,5.5,
2026-05-08,022-1,1031800008,10,5.5,
2026-05-08,022-1,1031800008,11,5.0,
2026-05-08,022-1,1031800008,12,5.0,
2026-05-08,022-1,1031800008,13,5.0,
2026-05-08,022-1,1031800008,14,5.0,
2026-05-08,022-1,1031800008,15,5.0,
2026-05-08,022-1,1031800008,16,5.0,
2026-05-08,022-1,1031800008,17,1.5,
2026-05-08,025-1,1164300002,1,5.0,
2026-05-08,025-1,1164300002,2,5.0,
2026-05-08,025-1,1164300002,3,5.0,
2026-05-08,025-1,1164300002,4,5.0,
2026-05-08,025-1,1164300002,5,5.0,
2026-05-08,025-1,1164300002,6,5.0,
2026-05-08,025-1,1164300002,7,5.0,
2026-05-08,025-1,1164300002,8,5.0,
2026-05-08,025-1,1164300002,9,5.0,
2026-05-08,025-1,1164300002,10,5.0,
2026-05-08,025-1,1164300002,11,5.0,
2026-05-08,025-1,1164300002,12,5.0,
2026-05-08,025-1,1164300002,13,5.0,
2026-05-08,025-1,1164300002,14,1.5,
2026-05-09,001-1,1125800020,1,0.5,
2026-05-09,002-1,1125800020,1,5.0,
2026-05-09,002-1,1125800020,2,5.5,
2026-05-09,002-1,1125800020,3,5.5,
2026-05-09,002-1,1125800020,4,5.5,
2026-05-09,002-1,1125800020,5,5.5,
2026-05-09,002-1,1125800020,6,5.5,
2026-05-09,002-1,1125800020,7,5.5,
2026-05-09,002-1,1125800020,8,5.5,
2026-05-09,002-1,1125800020,9,5.5,
2026-05-09,002-1,1125800020,10,5.5,
2026-05-09,002-1,1125800020,11,5.5,
2026-05-09,002-1,1125800020,12,5.0,
2026-05-09,002-1,1125800020,13,5.0,
2026-05-09,002-1,1125800020,14,5.0,
2026-05-09,002-1,1125800020,15,5.0,
2026-05-09,002-1,1125800020,16,5.0,
2026-05-09,002-1,1125800020,17,5.0,
2026-05-09,002-1,1125800020,18,5.0,
2026-05-09,005-1,1167400002,1,0.5,
2026-05-09,006-1,1167400002,1,5.0,
2026-05-09,006-1,1167400002,2,5.0,
2026-05-09,006-1,1167400002,3,5.0,
2026-05-09,006-1,1167400002,4,5.0,
2026-05-09,006-1,1167400002,5,5.0,
2026-05-09,006-1,1167400002,6,5.0,
2026-05-09,006-1,1167400002,7,5.0,
2026-05-09,006-1,1167400002,8,5.0,
2026-05-09,006-1,1167400002,9,5.0,
2026-05-09,006-1,1167400002,10,5.0,
2026-05-09,006-1,1167400002,11,5.0,
2026-05-09,006-1,1167400002,12,5.0,
2026-05-09,006-1,1167400002,13,5.0,
2026-05-09,006-1,1167400002,14,5.0,
2026-05-09,006-1,1167400002,15,5.0,
2026-05-09,006-1,1167400002,16,5.0,
2026-05-09,006-1,1167400002,17,5.0,
2026-05-09,006-1,1167400002,18,5.0,
2026-05-09,006-1,1167400002,19,3.0,
2026-05-09,022-1,1121000073,1,4.75,
2026-05-09,022-1,1121000073,2,4.75,
2026-05-09,022-1,1121000073,3,4.75,
2026-05-09,022-1,1121000073,4,4.75,
2026-05-09,022-1,1121000073,5,4.75,
2026-05-09,022-1,1121000073,6,4.75,
2026-05-09,022-1,1121000073,7,4.75,
2026-05-09,022-1,1121000073,8,4.75,
2026-05-09,022-1,1121000073,9,4.75,
2026-05-09,022-1,1121000073,10,4.75,
2026-05-09,022-1,1121000073,11,4.75,
2026-05-09,022-1,1121000073,12,4.75,
2026-05-09,022-1,1121000073,13,4.75,
2026-05-09,022-1,1121000073,14,4.75,
2026-05-09,022-1,1121000073,15,4.75,
2026-05-09,022-1,1121000073,16,4.75,
2026-05-09,022-1,1121000073,17,4.75,
2026-05-09,022-1,1121000073,18,4.75,
2026-05-09,022-1,1121000073,19,4.75,
2026-05-09,022-1,1121000073,20,4.75,
2026-05-09,022-1,1121000073,21,4.75,
2026-05-09,022-1,1121000073,22,4.75,
2026-05-09,022-1,1121000073,23,4.75,
2026-05-09,022-1,1121000073,24,4.75,
2026-05-09,022-1,1121000073,25,4.75,
2026-05-09,022-1,1121000073,26,4.75,
2026-05-09,022-1,1121000073,27,4.75,
2026-05-09,022-1,1121000073,28,4.75,
2026-05-09,022-1,1121000073,29,4.75,
2026-05-09,022-1,1121000073,30,4.75,
2026-05-09,022-1,1121000073,31,4.75,
2026-05-09,022-1,1121000073,32,4.75,
2026-05-09,022-1,1121000073,33,4.75,
2026-05-09,022-1,1121000073,34,4.75,
2026-05-09,022-1,1121000073,35,4.75,
2026-05-09,022-1,1121000073,36,4.75,
2026-05-09,022-1,1121000073,37,4.75,
2026-05-09,022-1,1121000073,38,4.75,
2026-05-09,022-1,1121000073,39,4.75,
2026-05-09,022-1,1121000073,40,1.0,
2026-06-01,004-1,1171100001,7,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-05-09,029-1,1125200013,1,5.0,
2026-05-09,029-1,1125200013,2,5.0,
2026-05-09,029-1,1125200013,3,5.0,
2026-05-09,029-1,1125200013,4,5.0,
2026-05-09,029-1,1125200013,5,5.0,
2026-05-09,029-1,1125200013,6,5.0,
2026-05-09,029-1,1125200013,7,5.0,
2026-05-09,029-1,1125200013,8,5.0,
2026-05-09,029-1,1125200013,9,5.0,
2026-05-09,029-1,1125200013,10,5.0,
2026-05-09,029-1,1125200013,11,5.0,
2026-05-11,006-1,17800016,1,0.5,
2026-05-11,007-1,17800016,1,5.0,
2026-05-11,007-1,17800016,2,5.5,
2026-05-11,007-1,17800016,3,5.5,
2026-05-11,007-1,17800016,4,5.5,
2026-05-11,007-1,17800016,5,5.5,
2026-05-11,007-1,17800016,6,5.5,
2026-05-11,007-1,17800016,7,5.5,
2026-05-11,007-1,17800016,8,5.5,
2026-05-11,007-1,17800016,9,5.5,
2026-05-11,007-1,17800016,10,5.5,
2026-05-11,007-1,17800016,11,5.5,
2026-05-11,007-1,17800016,12,5.5,
2026-05-11,007-1,17800016,13,5.5,
2026-05-11,007-1,17800016,14,5.5,
2026-05-11,007-1,17800016,15,5.5,
2026-05-11,007-1,17800016,16,5.5,
2026-05-11,007-1,17800016,17,5.5,
2026-05-11,007-1,17800016,18,5.0,
2026-05-11,007-1,17800016,19,5.5,
2026-05-11,007-1,17800016,20,5.5,
2026-05-11,007-1,17800016,21,5.5,
2026-05-11,007-1,17800016,22,5.5,
2026-05-11,007-1,17800016,23,4.5,
2026-05-11,007-1,17800016,24,5.5,
2026-05-11,007-1,17800016,25,5.5,
2026-05-11,007-1,17800016,26,5.5,
2026-05-11,009-1,1011500016,1,5.0,
2026-05-11,009-1,1011500016,2,5.0,
2026-05-11,009-1,1011500016,3,5.0,
2026-05-11,009-1,1011500016,4,5.0,
2026-05-11,009-1,1011500016,5,5.0,
2026-05-11,009-1,1011500016,6,5.0,
2026-05-11,009-1,1011500016,7,5.0,
2026-05-11,009-1,1011500016,8,5.0,
2026-05-11,009-1,1011500016,9,5.0,
2026-05-11,009-1,1011500016,10,5.0,
2026-05-11,009-1,1011500016,11,5.0,
2026-05-11,009-1,1011500016,12,5.0,
2026-05-11,009-1,1011500016,13,5.0,
2026-05-11,009-1,1011500016,14,5.0,
2026-05-11,009-1,1011500016,15,5.0,
2026-06-01,004-1,1171100001,8,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,004-1,1171100001,9,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,005-1,1167200001,1,0.5,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,006-1,1167200001,1,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,006-1,1167200001,2,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,006-1,1167200001,3,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,006-1,1167200001,4,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,006-1,1167200001,5,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,006-1,1167200001,6,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,006-1,1167200001,7,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,006-1,1167200001,8,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,006-1,1167200001,9,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,006-1,1167200001,10,5.0,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-05-11,014-1,1125200012,1,5.0,
2026-06-01,007-1,7900009,1,0.5,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,008-1,7900009,1,4.75,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,008-1,7900009,2,4.75,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,008-1,7900009,3,4.75,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,008-1,7900009,4,4.75,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,008-1,7900009,5,4.75,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,008-1,7900009,6,4.75,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,008-1,7900009,7,4.75,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,008-1,7900009,8,4.75,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,008-1,7900009,9,4.75,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,008-1,7900009,10,4.75,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,008-1,7900009,11,4.75,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-06-01,008-1,7900009,12,1.5,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-05-11,025-1,1167000001,1,2.5,
2026-06-01,010-1,1084700008,1,4.75,8ee68c5d-2d9f-4ac8-9a32-90859283468b
2026-05-11,031-1,1167300001,1,2.0,
